,Time,Temperature (c),Salinity (ppt),ODO mg/L,temp_z-score,salinity_z-score,odo_z-score,Date
217,46:24.7,26.70000076,49.77,5.54,-0.34317737078029,0.2605894356802514,1.8938148275121733,2024-12-16
218,46:25.7,26.70000076,49.76,5.54,-0.34317737078029,0.2594580435623061,1.8938148275121733,2024-12-16
219,46:26.7,26.70000076,49.74,5.54,-0.34317737078029,0.25719525932641707,1.8938148275121733,2024-12-16
220,46:27.8,26.70000076,49.74,5.54,-0.34317737078029,0.25719525932641707,1.8938148275121733,2024-12-16
221,46:28.7,26.70000076,49.74,5.54,-0.34317737078029,0.25719525932641707,1.8938148275121733,2024-12-16
222,46:29.7,26.70000076,49.72,5.54,-0.34317737078029,0.25493247509052724,1.8938148275121733,2024-12-16
223,46:30.8,26.70000076,49.73,5.53,-0.34317737078029,0.25606386720847174,1.8774577793595308,2024-12-16
224,46:31.8,26.70000076,49.73,5.53,-0.34317737078029,0.25606386720847174,1.8774577793595308,2024-12-16
225,46:32.8,26.70000076,49.71,5.53,-0.34317737078029,0.25380108297258275,1.8774577793595308,2024-12-16
226,46:33.8,26.70000076,49.71,5.53,-0.34317737078029,0.25380108297258275,1.8774577793595308,2024-12-16
227,46:34.8,26.79999924,49.7,5.52,1.324447442395104,0.25266969085463825,1.861100731206887,2024-12-16
228,46:35.8,26.70000076,49.69,5.51,-0.34317737078029,0.2515382987366929,1.8447436830542445,2024-12-16
229,46:36.8,26.70000076,49.69,5.51,-0.34317737078029,0.2515382987366929,1.8447436830542445,2024-12-16
230,46:37.8,26.70000076,49.67,5.5,-0.34317737078029,0.2492755145008039,1.828386634901602,2024-12-16
231,46:38.8,26.70000076,49.66,5.49,-0.34317737078029,0.2481441223828586,1.8120295867489595,2024-12-16
232,46:39.8,26.70000076,49.66,5.49,-0.34317737078029,0.2481441223828586,1.8120295867489595,2024-12-16
233,46:40.8,26.70000076,49.65,5.49,-0.34317737078029,0.24701273026491408,1.8120295867489595,2024-12-16
234,46:41.8,26.70000076,49.55,5.49,-0.34317737078029,0.2356988090854666,1.8120295867489595,2024-12-16
235,46:42.8,26.70000076,49.55,5.49,-0.34317737078029,0.2356988090854666,1.8120295867489595,2024-12-16
236,46:43.8,26.70000076,49.55,5.48,-0.34317737078029,0.2356988090854666,1.795672538596317,2024-12-16
237,46:44.8,26.70000076,49.54,5.47,-0.34317737078029,0.2345674169675221,1.7793154904436732,2024-12-16
